 INFO  Accepting connections at http://localhost:3000
 HTTP  3/21/2026 5:01:04 PM ::1 GET /
 HTTP  3/21/2026 5:01:04 PM ::1 Returned 200 in 14 ms
 HTTP  3/21/2026 5:01:27 PM ::1 GET /
 HTTP  3/21/2026 5:01:27 PM ::1 Returned 200 in 4 ms
 HTTP  3/21/2026 5:01:27 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:01:27 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:01:27 PM ::1 Returned 200 in 3 ms
 HTTP  3/21/2026 5:01:27 PM ::1 Returned 200 in 3 ms
 HTTP  3/21/2026 5:01:28 PM ::1 GET /favicon.ico
 HTTP  3/21/2026 5:01:28 PM ::1 Returned 404 in 4 ms
 HTTP  3/21/2026 5:01:34 PM ::1 GET /
 HTTP  3/21/2026 5:01:34 PM ::1 Returned 304 in 2 ms
 HTTP  3/21/2026 5:01:34 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:01:34 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:01:34 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:01:34 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:02:27 PM ::1 GET /
 HTTP  3/21/2026 5:02:27 PM ::1 Returned 304 in 3 ms
 HTTP  3/21/2026 5:02:27 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:02:27 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:02:27 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:02:27 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:04:40 PM ::1 GET /
 HTTP  3/21/2026 5:04:40 PM ::1 Returned 200 in 4 ms
 HTTP  3/21/2026 5:09:12 PM ::1 GET /
 HTTP  3/21/2026 5:09:12 PM ::1 Returned 200 in 6 ms
 HTTP  3/21/2026 5:09:15 PM ::1 GET /
 HTTP  3/21/2026 5:09:15 PM ::1 Returned 200 in 1 ms
 HTTP  3/21/2026 5:09:16 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:09:16 PM ::1 Returned 200 in 1 ms
 HTTP  3/21/2026 5:09:16 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:09:16 PM ::1 Returned 200 in 1 ms
 HTTP  3/21/2026 5:09:17 PM ::1 GET /favicon.ico
 HTTP  3/21/2026 5:09:17 PM ::1 Returned 404 in 4 ms
 HTTP  3/21/2026 5:09:56 PM ::1 GET /
 HTTP  3/21/2026 5:09:56 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:09:56 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:09:56 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:09:56 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:09:56 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:11:11 PM ::1 GET /
 HTTP  3/21/2026 5:11:11 PM ::1 Returned 304 in 7 ms
 HTTP  3/21/2026 5:11:11 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:11:11 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:11:11 PM ::1 Returned 304 in 0 ms
 HTTP  3/21/2026 5:11:11 PM ::1 Returned 304 in 6 ms
 HTTP  3/21/2026 5:11:47 PM ::1 GET /
 HTTP  3/21/2026 5:11:47 PM ::1 Returned 200 in 1 ms
 HTTP  3/21/2026 5:11:47 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:11:47 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:11:47 PM ::1 Returned 200 in 2 ms
 HTTP  3/21/2026 5:11:47 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:11:47 PM ::1 GET /favicon.ico
 HTTP  3/21/2026 5:11:47 PM ::1 Returned 404 in 2 ms
 HTTP  3/21/2026 5:11:58 PM ::1 GET /
 HTTP  3/21/2026 5:11:58 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:11:58 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:11:58 PM ::1 Returned 304 in 0 ms
 HTTP  3/21/2026 5:11:58 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:11:58 PM ::1 Returned 304 in 2 ms
 HTTP  3/21/2026 5:12:22 PM ::1 GET /
 HTTP  3/21/2026 5:12:22 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:12:22 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:12:22 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:12:22 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:12:22 PM ::1 Returned 304 in 2 ms
 HTTP  3/21/2026 5:12:37 PM ::1 GET /
 HTTP  3/21/2026 5:12:37 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:12:37 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:12:37 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:12:37 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:12:37 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:12:56 PM ::1 GET /
 HTTP  3/21/2026 5:12:56 PM ::1 Returned 200 in 0 ms
 HTTP  3/21/2026 5:12:56 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:12:56 PM ::1 Returned 200 in 1 ms
 HTTP  3/21/2026 5:12:56 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:12:56 PM ::1 Returned 200 in 1 ms
 HTTP  3/21/2026 5:16:10 PM ::1 GET /
 HTTP  3/21/2026 5:16:10 PM ::1 Returned 304 in 2 ms
 HTTP  3/21/2026 5:16:10 PM ::1 GET /styles.css
 HTTP  3/21/2026 5:16:10 PM ::1 Returned 304 in 0 ms
 HTTP  3/21/2026 5:16:10 PM ::1 GET /app.js?v=6
 HTTP  3/21/2026 5:16:10 PM ::1 Returned 304 in 1 ms
 HTTP  3/21/2026 5:17:49 PM ::1 GET /
 HTTP  3/21/2026 5:17:49 PM ::1 Returned 200 in 3 ms
